name,day,years,prevalence,cases
PBO,3730,1.2191780821917808,0.30459604,1.322412
PBO,3744,1.2575342465753425,0.31115183,1.3369896
PBO,3758,1.295890410958904,0.31800163,1.3678851
PBO,3772,1.3342465753424657,0.3251654,1.4134264
PBO,3786,1.3726027397260274,0.33260602,1.475594
PBO,3800,1.4109589041095891,0.34027287,1.5460501
PBO,3814,1.4493150684931506,0.34824887,1.6250184
PBO,3828,1.4876712328767123,0.3569351,1.7436326
PBO,3842,1.526027397260274,0.3669237,1.9074204
PBO,3856,1.5643835616438355,0.37846532,2.0794091
PBO,3870,1.6027397260273972,0.391019,2.2351968
PBO,3884,1.641095890410959,0.40326557,2.3191922
PBO,3898,1.6794520547945206,0.41351458,2.275404
PBO,3912,1.7178082191780821,0.42022392,2.1307387
PBO,3926,1.7561643835616438,0.42235497,1.9023671
PBO,3940,1.7945205479452055,0.41957852,1.6668189
PBO,3954,1.832876712328767,0.41269943,1.4880648
PBO,3968,1.8712328767123287,0.40412876,1.4482591
PBO,3982,1.9095890410958904,0.39726052,1.5636759
PBO,3996,1.9479452054794522,0.39474785,1.7930975
PBO,4010,1.9863013698630136,0.39766288,2.0752318
PBO,4024,2.0246575342465754,0.40565,2.3460817
PBO,4038,2.063013698630137,0.4161343,2.5359442
PBO,4052,2.1013698630136988,0.42611438,2.6227307
PBO,4066,2.1397260273972605,0.43426856,2.6172566
PBO,4080,2.1780821917808217,0.44076386,2.5667667
PBO,4094,2.2164383561643834,0.4462485,2.5093913
